Date,Title,Final Raw Score,Final Sentiment,Week
2026-06-10,"La Bolsa cede ante el cóctel de guerra, inflación y ajuste tecnológico",-2,-0.5,2026-06-08/2026-06-14
2026-06-16,"El Ibex sube un 0,7%, revalida nuevos máximos y supera los 19.100 puntos",7,1.0,2026-06-15/2026-06-21
2026-06-19,"El Ibex gana un 3% en la semana, entre el alivio y la cautela en los mercados",7,1.0,2026-06-15/2026-06-21
2026-06-22,"El precio del petróleo baja a los 77 dólares, niveles del inicio de la guerra en Irán",3,0.5,2026-06-22/2026-06-28
2026-06-23,El mercado refuerza la expectativa de alzas de tipos en EE UU y lleva al dólar a máximos de 12 meses,-2,-0.5,2026-06-22/2026-06-28
2026-06-29,El Ibex se aleja de sus máximos en un arranque de semana marcado por las dudas,-3,-0.5,2026-06-29/2026-07-05
2026-07-02,El Ibex toca nuevos máximos al desinflarse las apuestas sobre una subida de tipos en EE UU,5,1.0,2026-06-29/2026-07-05
2026-07-08,Sesión negra al anunciar Trump el final del alto el fuego: el petróleo se dispara a 80 dólares y el Ibex vive su peor sesión desde marzo,-8,-1.0,2026-07-06/2026-07-12
2026-07-10,El Ibex registra su peor semana en dos meses mientras la IA mantiene el impulso de Wall Street,-4,-0.5,2026-07-06/2026-07-12
2026-07-17,Los inversores cuestionan las valoraciones de la IA y agitan las Bolsas,-2,-0.5,2026-07-13/2026-07-19
2026-07-21,"La IA, la guerra en Oriente Próximo y la inflación bloquean el camino a nuevos máximos bursátiles",-3,-0.5,2026-07-20/2026-07-26
2026-07-27,La nueva fiebre de la IA tiene acento chino: CXMT debuta con una subida del 466%,3,0.5,2026-07-27/2026-08-02
2026-07-28,El Ibex se paraliza tras llegar a marcar máximos históricos ante las dudas sobre los valores de IA,-1,0.0,2026-07-27/2026-08-02
2026-07-30,"El Ibex se sacude las dudas y sube un 1,8% con la ayuda de la banca",2,0.5,2026-07-27/2026-08-02
2026-08-04,"El Tesoro paga el 2,68% por las letras a 12 meses, el tipo más alto desde septiembre de 2024",0,0.0,2026-08-03/2026-08-09
2026-08-05,El Ibex consolida los 20.000 puntos en un mercado impulsado la IA y los resultados,3,0.5,2026-08-03/2026-08-09
2026-08-07,El Ibex cierra en rojo pero sube un 2% en la semana y se mantiene en zona de máximos,2,0.5,2026-08-03/2026-08-09
2026-08-10,Los gestores redoblan su apetito por la Bolsa europea mientras los mercados se toman un respiro,2,0.5,2026-08-10/2026-08-16
